Verein;Status;Spieler;Punkte;RoteKarte;GelbRoteKarte;Vorlagen;Tore;SpielerDesSpiels
1. FC Union Berlin;Start;Rönnow;10;0;0;0;0;0
1. FC Union Berlin;Start;Juranovic;0;0;0;0;0;0
1. FC Union Berlin;Start;Querfeld;-2;0;0;0;0;0
1. FC Union Berlin;Start;Uduokhai;-2;0;0;0;0;0
1. FC Union Berlin;Start;Rothe;8;0;0;1;0;0
1. FC Union Berlin;Start;Aebischer;4;0;0;0;0;0
1. FC Union Berlin;Start;Kemlein;-2;0;0;0;0;0
1. FC Union Berlin;Start;Jeong;4;0;0;0;0;0
1. FC Union Berlin;Start;R. Khedira;0;0;0;0;0;0
1. FC Union Berlin;Start;Burcu;0;0;0;0;0;0
1. FC Union Berlin;Start;Latte Lath;-2;0;0;0;0;0
1. FC Union Berlin;Bank;Ljubicic;0;0;0;0;0;0
1. FC Union Berlin;Bank;Schäfer;0;0;0;0;0;0
1. FC Union Berlin;Bank;Skarke;6;0;0;0;1;0
1. FC Union Berlin;Bank;Haberer;2;0;0;0;0;0
1. FC Union Berlin;Bank;Skov;2;0;0;0;0;0
1. FC Union Berlin;Teampunkte;;28;;;;;
FC Schalke 04;Start;Karius;13;0;0;0;0;1
FC Schalke 04;Start;T. Becker;8;0;0;0;0;0
FC Schalke 04;Start;Katic;8;0;0;0;0;0
FC Schalke 04;Start;Kurucay;8;0;0;0;0;0
FC Schalke 04;Start;Ljubicic;4;0;0;0;0;0
FC Schalke 04;Start;El-Faouzi;10;0;0;0;0;0
FC Schalke 04;Start;Tanaka;6;0;0;0;0;0
FC Schalke 04;Start;Gosens;13;0;0;0;1;0
FC Schalke 04;Start;Karaman;10;0;0;0;0;0
FC Schalke 04;Start;Aouchiche;14;0;0;0;1;0
FC Schalke 04;Start;Adamu;10;0;0;1;0;0
FC Schalke 04;Teampunkte;;104;;;;;
Borussia Dortmund;Start;Kobel;8;0;0;0;0;0
Borussia Dortmund;Start;Gadou;4;0;0;0;0;0
Borussia Dortmund;Start;Anton;8;0;0;0;0;0
Borussia Dortmund;Start;N. Schlotterbeck;8;0;0;0;0;0
Borussia Dortmund;Start;Ryerson;2;0;0;0;0;0
Borussia Dortmund;Start;J. Veerman;6;0;0;0;0;0
Borussia Dortmund;Start;Bellingham;6;0;0;0;0;0
Borussia Dortmund;Start;Svensson;8;0;0;0;0;0
Borussia Dortmund;Start;Nwaneri;4;0;0;0;0;0
Borussia Dortmund;Start;Fabio Silva;11;0;0;0;1;0
Borussia Dortmund;Start;Guirassy;10;0;0;1;0;0
Borussia Dortmund;Bank;F. Nmecha;21;0;0;0;2;1
Borussia Dortmund;Bank;Chukwuemeka;2;0;0;0;0;0
Borussia Dortmund;Bank;Sabitzer;6;0;0;1;0;0
Borussia Dortmund;Bank;Bensebaini;2;0;0;0;0;0
Borussia Dortmund;Bank;Beier;4;0;0;1;0;0
Borussia Dortmund;Teampunkte;;110;;;;;
SC Paderborn 07;Start;Noll;10;0;0;0;0;0
SC Paderborn 07;Start;ter Horst;2;0;0;0;0;0
SC Paderborn 07;Start;Scheller;-2;0;0;0;0;0
SC Paderborn 07;Start;Hansen;2;0;0;0;0;0
SC Paderborn 07;Start;Curda;2;0;0;0;0;0
SC Paderborn 07;Start;Castaneda;6;0;0;0;0;0
SC Paderborn 07;Start;Obermair;6;0;0;0;0;0
SC Paderborn 07;Start;Ulrich;2;0;0;0;0;0
SC Paderborn 07;Start;Vidovic;-2;0;0;0;0;0
SC Paderborn 07;Start;Pieringer;0;0;0;0;0;0
SC Paderborn 07;Start;Marino;0;0;0;0;0;0
SC Paderborn 07;Teampunkte;;26;;;;;
TSG Hoffenheim;Start;Baumann;12;0;0;0;0;0
TSG Hoffenheim;Start;Coufal;4;0;0;0;0;0
TSG Hoffenheim;Start;Kabak;8;0;0;0;0;0
TSG Hoffenheim;Start;Hajdari;4;0;0;0;0;0
TSG Hoffenheim;Start;M. Rots;6;0;0;0;0;0
TSG Hoffenheim;Start;Avdullahu;4;0;0;0;0;0
TSG Hoffenheim;Start;Burger;10;0;0;0;0;0
TSG Hoffenheim;Start;Conté;10;0;0;1;0;0
TSG Hoffenheim;Start;Daghim;12;0;0;1;0;0
TSG Hoffenheim;Start;Lemperle;6;0;0;0;0;0
TSG Hoffenheim;Start;Hlozek;21;0;0;0;2;1
TSG Hoffenheim;Bank;Wimmer;6;0;0;0;0;0
TSG Hoffenheim;Bank;Gendrey;2;0;0;0;0;0
TSG Hoffenheim;Bank;Machida;2;0;0;0;0;0
TSG Hoffenheim;Bank;Kramaric;2;0;0;0;0;0
TSG Hoffenheim;Bank;Asllani;2;0;0;0;0;0
TSG Hoffenheim;Teampunkte;;111;;;;;
VfB Stuttgart;Start;Bredlow;6;0;0;0;0;0
VfB Stuttgart;Start;Jeltsch;6;0;0;0;0;0
VfB Stuttgart;Start;Chabot;0;0;0;0;0;0
VfB Stuttgart;Start;Hendriks;0;0;0;0;0;0
VfB Stuttgart;Start;Vagnoman;8;0;0;0;0;0
VfB Stuttgart;Start;Prömel;4;0;0;0;0;0
VfB Stuttgart;Start;Stiller;6;0;0;0;0;0
VfB Stuttgart;Start;Mittelstädt;11;0;0;0;1;0
VfB Stuttgart;Start;Demirovic;8;0;0;0;0;0
VfB Stuttgart;Start;Führich;8;0;0;0;0;0
VfB Stuttgart;Start;Pejcinovic;6;0;0;0;0;0
VfB Stuttgart;Teampunkte;;63;;;;;
SC Freiburg;Start;Backhaus;8;0;0;0;0;0
SC Freiburg;Start;Treu;8;0;0;0;0;0
SC Freiburg;Start;Ginter;16;0;0;2;0;0
SC Freiburg;Start;Lienhart;8;0;0;0;0;0
SC Freiburg;Start;Makengo;14;0;0;2;0;0
SC Freiburg;Start;M. Eggestein;12;0;0;0;1;0
SC Freiburg;Start;Engelhardt;20;0;0;0;2;0
SC Freiburg;Start;Beste;4;0;0;0;0;0
SC Freiburg;Start;Y. Suzuki;6;0;0;0;0;0
SC Freiburg;Start;Scherhant;8;0;0;1;0;0
SC Freiburg;Start;Matanovic;23;0;0;0;2;1
SC Freiburg;Bank;Grifo;2;0;0;0;0;0
SC Freiburg;Bank;Goto;2;0;0;0;0;0
SC Freiburg;Bank;Höler;2;0;0;0;0;0
SC Freiburg;Bank;Irié;2;0;0;0;0;0
SC Freiburg;Bank;Kübler;2;0;0;0;0;0
SC Freiburg;Teampunkte;;137;;;;;
Borussia Mönchengladbach;Start;Nicolas;-4;0;0;0;0;0
Borussia Mönchengladbach;Start;Scally;-2;0;0;0;0;0
Borussia Mönchengladbach;Start;Itakura;-4;0;0;0;0;0
Borussia Mönchengladbach;Start;Diks;-4;0;0;0;0;0
Borussia Mönchengladbach;Start;Herold;-4;0;0;0;0;0
Borussia Mönchengladbach;Start;Sander;-2;0;0;0;0;0
